Masayoshi Son§§PERSONNE§§§§§§
technocésarisme§§GÉOPOLITIQUE§§<p>Nouvelle théorie du bonheur, développée « entre les couloirs du Kremlin et les baies vitrées de la Silicon Valley » [@LGC2025, Introduction], qui consiste en l’usage sans limite de la puissance, en s’appuyant sur le « [[complexe techno-industriel]] ».</p>§<p>Dans ce cadre, l’appareil de la Silicon Valley revient à ses racines militaires et révèle ses aspirations totalitaires [@morozov20254].</p><p>Le technocésarisme vise un [[contrôle total de la population]], une théorie du bonheur qui se rapproche de celle du Parti communiste chinois [@gore2024]</p><p>Le projet impérialiste est décomposable en deux phase : (i) [[déconstruction des institutions]] démocratiques par la machine à chaos des réseaux sociaux qui provoque une migration forcée du débat public vers une sorte de [[Somalie numérique]] ; (ii) adhésion des masses à la [[machine algorithmique]] gouvernée par l'intelligence artificielle.</p><p>Un slogan : « conquérir l'univers, [[vaincre la mort]] ».</p>§[[technocratie]], [[colonisation de l'univers]], [[autoritarisme numérique]], [[souveraineté numérique]].§§Sources des termes: <ul><li>analyse : [[contributeur:Lorenzo Castellani]], [[contributeur:Marietje Schaake]], [[contributeur:Jianwei Xun]]</li><li>reconstruction jubilante : [[contributeur:Vladislav Sourkov]]</li><li>l'[[accélérationnisme]] de [[promoteur:Marc Andreessen]] et de [[promoteur:Sam Altman]]</li><li>l'[[aggiornamento schmittien]] de [[promoteur:Peter Thiel]]</li><li>le théoricien du [[mouvement néoréactionnaire]], [[promoteur:Curtis Yarvin]]</li><li>indépendance européenne [[contributeur:Mario Draghi]] et remise de la technologie au service de la société [[contributeur:Daron Acemoğlu]]</li></ul>.
Antti Revonsuo§§PERSONNE§§§§§§
Stephen LaBerge§§PERSONNE§§§§§§
Giuliano Empoli§§PERSONNE§§§§§§
Adam Tooze§§PERSONNE§§§§§§
Adam Tooze§§PERSONNE§§§§§§
Katharine Jackson§§PERSONNE§§§§§§
Jianwei Xun§§PERSONNE§§§§§§
Adam Curtis§§PERSONNE§§[Adam Curtis](https://fr.wikipedia.org/wiki/Adam_Curtis), né le 26 mai 1955, est un documentariste britannique de télévision qui a travaillé comme scénariste, narrateur, producteur et réalisateur (cf. [@AdamCurtis2016]).§§§§
Marc Andreessen§§PERSONNE§§§§§§
Marian L. Tupy§§PERSONNE§§§§§§
Gale L. Pooley§§PERSONNE§§§§§§
George Gilder§§PERSONNE§§§§§§
Andre Wilkens§§PERSONNE§§§§§§
Gilles Gressani§§PERSONNE§§§§§§
William D. Nordhaus§§PERSONNE§§§§§§
Mark Fisher§§PERSONNE§§§§§§
Nick Land§§PERSONNE§§§§§§
Ray Brassier§§PERSONNE§§§§§§
James P. Carse§§PERSONNE§§§§§§
Julian Lincoln Simon§§PERSONNE§§§§§§
Thomas Sowell§§PERSONNE§§§§§§
Paul Collier§§PERSONNE§§§§§§
Ray Kurzweil§§PERSONNE§§§§§§
Deirdre N. McCloskey§§PERSONNE§§§§§§
Calestous Juma§§PERSONNE§§§§§§
Martin Gurri§§PERSONNE§§§§§§
Evgeny Morozov§§PERSONNE§§§§§§
Virginia Postrel§§PERSONNE§§§§§§
Neven Sesardić§§PERSONNE§§§§§§
Curtis Yarvin§§PERSONNE§§§§§§
Peter Thiel§§PERSONNE§§§§§§
Sam Altman§§PERSONNE§§§§§§
Daron Acemoğlu§§PERSONNE§§§§§§
Lorenzo Castellani§§PERSONNE§§§§§§
Mario Draghi§§PERSONNE§§§§§§
He Jiayan§§PERSONNE§§§§§§
Benjamin Labatut§§PERSONNE§§§§§§
Marietje Schaake§§PERSONNE§§§§§§
Vladislav Sourkov§§PERSONNE§§§§§§
Svetlana Tikhanovskaïa§§PERSONNE§§§§§§
